Searching for any hub with Pybricks service...
battery mV: 8460
samples: 1000
t_ms,phase,duty,gyro_dps
1595,0,0,0
1600,0,0,0
1605,0,0,0
1610,0,0,0
1615,0,0,0
1620,0,0,0
1625,0,0,0
1630,0,0,0
1635,0,0,0
1640,0,0,0
1645,0,0,0
1650,0,0,0
1655,0,0,0
1660,0,0,0
1665,0,0,0
1670,0,0,0
1675,0,0,0
1680,0,0,0
1685,0,0,0
1690,0,0,0
1695,0,0,0
1700,0,0,0
1705,0,0,0
1710,0,0,0
1715,0,0,0
1720,0,0,0
1725,0,0,0
1730,0,0,0
1735,0,0,0
1740,0,0,0
1745,0,0,0
1750,0,0,0
1755,0,0,0
1760,0,0,0
1765,0,0,0
1770,0,0,0
1775,0,0,0
1780,0,0,0
1785,0,0,0
1790,0,0,0
1795,0,0,0
1800,0,0,0
1805,0,0,0
1810,0,0,0
1815,0,0,0
1820,0,0,0
1825,0,0,0
1830,0,0,0
1835,0,0,0
1840,0,0,0
1845,0,0,0
1850,0,0,0
1855,0,0,0
1860,0,0,0
1865,0,0,0
1870,0,0,0
1875,0,0,0
1880,0,0,0
1885,0,0,0
1890,0,0,0
1895,0,0,0
1900,0,0,0
1905,0,0,0
1910,0,0,0
1915,0,0,0
1920,0,0,0
1925,0,0,0
1930,0,0,0
1935,0,0,0
1940,0,0,0
1945,0,0,0
1950,0,0,0
1955,0,0,0
1960,0,0,0
1965,0,0,0
1970,0,0,0
1975,0,0,0
1980,0,0,0
1985,0,0,0
1990,0,0,0
1995,0,0,0
2000,0,0,0
2005,0,0,0
2010,0,0,0
2015,0,0,0
2020,0,0,0
2025,0,0,0
2030,0,0,0
2035,0,0,0
2040,0,0,0
2045,0,0,0
2050,0,0,0
2055,0,0,0
2060,0,0,0
2065,0,0,0
2070,0,0,0
2075,0,0,0
2080,0,0,0
2085,0,0,0
2090,0,0,0
2095,0,0,0
2100,0,0,0
2105,0,0,0
2110,0,0,0
2115,0,0,0
2120,0,0,0
2125,0,0,0
2130,0,0,0
2135,0,0,0
2140,0,0,0
2145,0,0,0
2150,0,0,0
2155,0,0,0
2160,0,0,0
2165,0,0,0
2170,0,0,0
2175,0,0,0
2180,0,0,0
2185,0,0,0
2190,0,0,0
2195,0,0,0
2200,0,0,0
2205,0,0,0
2210,0,0,0
2215,0,0,0
2220,0,0,0
2225,0,0,0
2230,0,0,0
2235,0,0,0
2240,0,0,0
2245,0,0,0
2250,0,0,0
2255,0,0,0
2260,0,0,0
2265,0,0,0
2270,0,0,0
2275,0,0,0
2280,0,0,0
2285,0,0,0
2290,0,0,0
2295,0,0,0
2300,0,0,0
2305,0,0,0
2310,0,0,0
2315,0,0,0
2320,0,0,0
2325,0,0,0
2330,0,0,0
2335,0,0,0
2340,0,0,0
2345,0,0,0
2350,0,0,0
2355,0,0,0
2360,0,0,0
2365,0,0,0
2370,0,0,0
2375,0,0,0
2380,0,0,0
2385,0,0,0
2390,0,0,0
2395,0,0,0
2400,0,0,0
2405,0,0,0
2410,0,0,0
2415,0,0,0
2420,0,0,0
2425,0,0,0
2430,0,0,0
2435,0,0,0
2440,0,0,0
2445,0,0,0
2450,0,0,0
2455,0,0,0
2460,0,0,0
2465,0,0,0
2470,0,0,0
2475,0,0,0
2480,0,0,0
2485,0,0,0
2490,0,0,0
2495,0,0,0
2500,1,40,0
2505,1,40,0
2510,1,40,0
2515,1,40,1
2520,1,40,0
2525,1,40,2
2530,1,40,7
2535,1,40,10
2540,1,40,2
2545,1,40,-1
2550,1,40,-2
2555,1,40,-10
2560,1,0,-8
2565,1,0,-7
2570,1,0,12
2575,1,0,9
2580,1,0,-2
2585,1,0,-3
2590,1,0,-4
2595,1,0,-2
2600,1,0,-7
2605,1,0,0
2610,1,0,0
2615,1,0,-2
2620,1,0,-4
2625,1,0,-2
2630,1,0,0
2635,1,0,-2
2640,1,0,1
2645,1,0,1
2650,1,0,-2
2655,1,0,-2
2660,1,0,-2
2665,1,0,0
2670,1,0,1
2675,1,0,2
2680,1,0,1
2685,1,0,0
2690,1,0,0
2695,1,0,0
2700,1,0,1
2705,1,0,0
2710,1,0,0
2715,1,0,0
2720,1,0,0
2725,1,0,0
2730,1,0,1
2735,1,0,0
2740,1,0,0
2745,1,0,0
2750,1,0,0
2755,1,0,0
2760,1,0,0
2765,1,0,0
2770,1,0,0
2775,1,0,0
2780,1,0,0
2785,1,0,0
2790,1,0,0
2795,1,0,0
2800,1,0,0
2805,1,0,0
2810,1,0,0
2815,1,0,0
2820,1,0,0
2825,1,0,0
2830,1,0,0
2835,1,0,0
2840,1,0,0
2845,1,0,0
2850,1,0,0
2855,1,0,0
2860,1,0,0
2865,1,0,0
2870,1,0,0
2875,1,0,0
2880,1,0,0
2885,1,0,0
2890,1,0,0
2895,1,0,0
2900,1,0,0
2905,1,0,0
2910,1,0,0
2915,1,0,0
2920,1,0,0
2925,1,0,0
2930,1,0,0
2935,1,0,0
2940,1,0,0
2945,1,0,0
2950,1,0,0
2955,1,0,0
2960,1,-40,0
2965,1,-40,0
2970,1,-40,0
2975,1,-40,-3
2980,1,-40,-5
2985,1,-40,-4
2990,1,-40,-4
2995,1,-40,-1
3000,1,-40,0
3005,1,-40,3
3010,1,-40,-3
3015,1,-40,-4
3020,1,0,-8
3025,1,0,1
3030,1,0,0
3035,1,0,3
3040,1,0,5
3045,1,0,4
3050,1,0,25
3055,1,0,12
3060,1,0,3
3065,1,0,-4
3070,1,0,0
3075,1,0,-11
3080,1,0,7
3085,1,0,5
3090,1,0,1
3095,1,0,3
3100,1,0,-3
3105,1,0,-2
3110,1,0,2
3115,1,0,1
3120,1,0,2
3125,1,0,0
3130,1,0,0
3135,1,0,0
3140,1,0,0
3145,1,0,-3
3150,1,0,1
3155,1,0,3
3160,1,0,-2
3165,1,0,-3
3170,1,0,0
3175,1,0,0
3180,1,0,0
3185,1,0,1
3190,1,0,0
3195,1,0,-1
3200,1,0,-1
3205,1,0,0
3210,1,0,0
3215,1,0,1
3220,1,0,1
3225,1,0,0
3230,1,0,0
3235,1,0,0
3240,1,0,0
3245,1,0,0
3250,1,0,0
3255,1,0,0
3260,1,0,0
3265,1,0,0
3270,1,0,0
3275,1,0,0
3280,1,0,0
3285,1,0,0
3290,1,0,0
3295,1,0,0
3300,1,0,0
3305,1,0,0
3310,1,0,0
3315,1,0,0
3320,1,0,0
3325,1,0,0
3330,1,0,0
3335,1,0,0
3340,1,0,0
3345,1,0,0
3350,1,0,0
3355,1,0,0
3360,1,0,0
3365,1,0,0
3370,1,0,0
3375,1,0,0
3380,1,0,0
3385,1,0,0
3390,1,0,0
3395,1,0,0
3400,1,0,0
3405,1,0,0
3410,1,0,0
3415,1,0,0
3420,1,40,0
3425,1,40,0
3430,1,40,0
3435,1,40,3
3440,1,40,7
3445,1,40,5
3450,1,40,4
3455,1,40,0
3460,1,40,-6
3465,1,40,-9
3470,1,40,-5
3475,1,40,-4
3480,1,0,8
3485,1,0,5
3490,1,0,-6
3495,1,0,-2
3500,1,0,2
3505,1,0,1
3510,1,0,-9
3515,1,0,0
3520,1,0,3
3525,1,0,5
3530,1,0,-11
3535,1,0,-5
3540,1,0,-1
3545,1,0,-4
3550,1,0,-7
3555,1,0,3
3560,1,0,0
3565,1,0,-1
3570,1,0,-1
3575,1,0,0
3580,1,0,2
3585,1,0,2
3590,1,0,1
3595,1,0,2
3600,1,0,1
3605,1,0,2
3610,1,0,1
3615,1,0,0
3620,1,0,0
3625,1,0,1
3630,1,0,2
3635,1,0,0
3640,1,0,-1
3645,1,0,0
3650,1,0,1
3655,1,0,1
3660,1,0,-1
3665,1,0,0
3670,1,0,3
3675,1,0,2
3680,1,0,0
3685,1,0,0
3690,1,0,0
3695,1,0,-1
3700,1,0,0
3705,1,0,0
3710,1,0,1
3715,1,0,0
3720,1,0,0
3725,1,0,0
3730,1,0,0
3735,1,0,0
3740,1,0,0
3745,1,0,0
3750,1,0,0
3755,1,0,0
3760,1,0,0
3765,1,0,0
3770,1,0,0
3775,1,0,0
3780,1,0,0
3785,1,0,0
3790,1,0,0
3795,1,0,0
3800,1,0,0
3805,1,0,0
3810,1,0,0
3815,1,0,0
3820,1,0,0
3825,1,0,0
3830,1,0,0
3835,1,0,0
3840,1,0,0
3845,1,0,0
3850,1,0,0
3855,1,0,0
3860,1,0,0
3865,1,0,0
3870,1,0,0
3875,1,0,0
3880,1,-40,0
3885,1,-40,0
3890,1,-40,0
3895,1,-40,-1
3900,1,-40,-2
3905,1,-40,-5
3910,1,-40,-9
3915,1,-40,-4
3920,1,-40,-2
3925,1,-40,2
3930,1,-40,4
3935,1,-40,1
3940,1,0,-5
3945,1,0,-4
3950,1,0,1
3955,1,0,11
3960,1,0,17
3965,1,0,17
3970,1,0,11
3975,1,0,-2
3980,1,0,0
3985,1,0,-4
3990,1,0,4
3995,1,0,2
4000,1,0,5
4005,1,0,6
4010,1,0,4
4015,1,0,0
4020,1,0,3
4025,1,0,-2
4030,1,0,0
4035,1,0,3
4040,1,0,1
4045,1,0,0
4050,1,0,0
4055,1,0,-2
4060,1,0,-4
4065,1,0,0
4070,1,0,1
4075,1,0,1
4080,1,0,0
4085,1,0,0
4090,1,0,0
4095,1,0,0
4100,1,0,0
4105,1,0,0
4110,1,0,-1
4115,1,0,0
4120,1,0,0
4125,1,0,0
4130,1,0,0
4135,1,0,-1
4140,1,0,0
4145,1,0,0
4150,1,0,1
4155,1,0,1
4160,1,0,0
4165,1,0,0
4170,1,0,-1
4175,1,0,0
4180,1,0,0
4185,1,0,0
4190,1,0,0
4195,1,0,0
4200,1,0,0
4205,1,0,0
4210,1,0,0
4215,1,0,0
4220,1,0,0
4225,1,0,0
4230,1,0,0
4235,1,0,0
4240,1,0,0
4245,1,0,0
4250,1,0,0
4255,1,0,0
4260,1,0,0
4265,1,0,0
4270,1,0,0
4275,1,0,0
4280,1,0,0
4285,1,0,0
4290,1,0,0
4295,1,0,0
4300,1,0,0
4305,1,0,0
4310,1,0,0
4315,1,0,0
4320,1,0,0
4325,1,0,0
4330,1,0,0
4335,1,0,0
4340,1,40,0
4345,1,40,0
4350,1,40,0
4355,1,40,3
4360,1,40,5
4365,1,40,7
4370,1,40,4
4375,1,40,0
4380,1,40,-5
4385,1,40,-11
4390,1,40,-15
4395,1,40,-6
4400,1,0,12
4405,1,0,10
4410,1,0,-11
4415,1,0,-5
4420,1,0,-5
4425,1,0,0
4430,1,0,1
4435,1,0,-1
4440,1,0,-1
4445,1,0,-3
4450,1,0,-1
4455,1,0,-1
4460,1,0,-7
4465,1,0,2
4470,1,0,-3
4475,1,0,0
4480,1,0,1
4485,1,0,0
4490,1,0,-1
4495,1,0,-1
4500,1,0,1
4505,1,0,0
4510,1,0,0
4515,1,0,2
4520,1,0,2
4525,1,0,1
4530,1,0,0
4535,1,0,-1
4540,1,0,-2
4545,1,0,-2
4550,1,0,6
4555,1,0,9
4560,1,0,0
4565,1,0,-2
4570,1,0,0
4575,1,0,0
4580,1,0,0
4585,1,0,3
4590,1,0,0
4595,1,0,0
4600,1,0,0
4605,1,0,0
4610,1,0,0
4615,1,0,0
4620,1,0,0
4625,1,0,0
4630,1,0,0
4635,1,0,0
4640,1,0,0
4645,1,0,0
4650,1,0,0
4655,1,0,0
4660,1,0,0
4665,1,0,0
4670,1,0,0
4675,1,0,0
4680,1,0,0
4685,1,0,0
4690,1,0,0
4695,1,0,0
4700,1,0,0
4705,1,0,0
4710,1,0,0
4715,1,0,0
4720,1,0,0
4725,1,0,0
4730,1,0,0
4735,1,0,0
4740,1,0,0
4745,1,0,0
4750,1,0,0
4755,1,0,0
4760,1,0,0
4765,1,0,0
4770,1,0,0
4775,1,0,0
4780,1,0,0
4785,1,0,0
4790,1,0,0
4795,1,0,0
4800,1,-40,0
4805,1,-40,0
4810,1,-40,0
4815,1,-40,-2
4820,1,-40,-5
4825,1,-40,-6
4830,1,-40,-7
4835,1,-40,-1
4840,1,-40,-2
4845,1,-40,-4
4850,1,-40,0
4855,1,-40,5
4860,1,0,1
4865,1,0,3
4870,1,0,-16
4875,1,0,-3
4880,1,0,18
4885,1,0,13
4890,1,0,3
4895,1,0,17
4900,1,0,5
4905,1,0,3
4910,1,0,-1
4915,1,0,-3
4920,1,0,2
4925,1,0,2
4930,1,0,4
4935,1,0,3
4940,1,0,0
4945,1,0,-1
4950,1,0,2
4955,1,0,0
4960,1,0,2
4965,1,0,0
4970,1,0,-1
4975,1,0,0
4980,1,0,-2
4985,1,0,-3
4990,1,0,0
4995,1,0,1
END

[exited with code 0]
